"Контакты: +998 94 522 43 48 @sellerlabpacking / +998 94 702 14 33 @sellerlabuz Объём товара в литрах 
длина * ширина * высота","","Категория 1 до 0,6 л. ","Категория 2 от 0,6 до 5 л. ","Категория 3 от 5 до 37 л. ","Категория 4 от 37 до 182 л.","Категория 5 от 182 л.
КГТ"
"Базовая услуга обработки
Погрузка/разгрузка; приёмка и пересчёт; визуальная проверка на брак.","от 100 шт на баркод"," 600"," 900","1 190","2 570","5 500"
"","от 11 до 99 шт на баркод"," 650"," 950","1 250","2 700","5 800"
"","до 10 шт на баркод"," 720","1 050","1 380","2 970","6 400"
"Сортировка, если товар не сгруппирован","от 100 шт на баркод"," 390"," 420"," 590"," 750"," 880"
"","от 11 до 99 шт на баркод"," 450"," 490"," 620"," 790"," 910"
"","до 10 шт на баркод"," 490"," 520"," 650"," 850"," 950"
"Маркировка
UZUM / Yandex","от 100 шт на баркод"," 190"," 290"," 480"," 710","1 050"
"","от 11 до 99 шт на баркод"," 200"," 300"," 500"," 750","1 100"
"","до 10 шт на баркод"," 220"," 330"," 550"," 830","1 200"
"Маркировка
WILDBERRIES","от 100 шт на баркод"," 330"," 480"," 670"," 900","1 250"
"","от 11 до 99 шт на баркод"," 350"," 500"," 700"," 950","1 350"
"","до 10 шт на баркод"," 390"," 550"," 770","1 050","1 500"
"Дополнительная маркировка
Со вскрытием упаковки","от 100 шт на баркод"," 480"," 520"," 570"," 620"," 670"
"","от 11 до 99 шт на баркод"," 500"," 550"," 600"," 650"," 700"
"","до 10 шт на баркод"," 550"," 610"," 660"," 720"," 770"
"Дополнительная маркировка
Без вскрытия упаковки","от 100 шт на баркод"," 190"," 240"," 330"," 480"," 700"
"","от 11 до 99 шт на баркод"," 200"," 250"," 350"," 500"," 750"
"","до 10 шт на баркод"," 220"," 280"," 390"," 550"," 830"
"Маркировка Asl Belgisi","от 100 шт на баркод"," 700"," 700"," 700"," 700"," 700"
"","от 11 до 99 шт на баркод"," 800"," 800"," 800"," 800"," 800"
"","до 10 шт на баркод"," 880"," 880"," 880"," 880"," 880"
"Упаковка в стрейч / зип пакет / БОПП пакет
материалы входят в стоимость","от 100 шт на баркод"," 440"," 820","2 050","3 550","9 800"
"","от 11 до 99 шт на баркод"," 460"," 860","2 150","3 750","10 350"
"","до 10 шт на баркод"," 510"," 950","2 400","4 100","11 400"
"Запайка в рукав
материалы входят в стоимость","от 100 шт на баркод"," 710","1 140","3 420","6 180",""
"","от 11 до 99 шт на баркод"," 750","1 200","3 600","6 500",""
"","до 10 шт на баркод"," 830","1 320","3 960","7 150",""
"Упаковка в термоусадочную плёнку
материалы входят в стоимость","от 100 шт на баркод"," 400"," 750","1 900","",""
"","от 11 до 99 шт на баркод"," 450"," 800","2 000","",""
"","до 10 шт на баркод"," 520"," 900","2 200","",""
"Упаковка в ВПП (пупырка) 1 слой, фиксация скотчем
материалы входят в стоимость","от 100 шт на баркод"," 850","1 750","4 550","10 450",""
"","от 11 до 99 шт на баркод"," 900","1 850","4 800","11 000",""
"","до 10 шт на баркод"," 990","2 050","5 350","12 100",""
"Упаковка в ВПП (пупырка) 1 слой, фиксация стрейч-плёнкой","от 100 шт на баркод"," 910","1 850","5 100","13 300",""
"","от 11 до 99 шт на баркод"," 950","1 950","5 350","14 000",""
"","до 10 шт на баркод","1 050","2 150","5 850","15 500",""
"Упаковка в ВПП (пупырка) 2 слоя, фиксация скотчем
материалы входят в стоимость","от 100 шт на баркод","1 150","2 750","8 450","18 000",""
"","от 11 до 99 шт на баркод","1 200","2 900","8 900","19 000",""
"","до 10 шт на баркод","1 300","3 200","9 750","21 000",""
"Упаковка в ВПП (пупырка) 2 слоя, фиксация стрейч-плёнкой","от 100 шт на баркод","1 290","2 900","8 650","19 950",""
"","от 11 до 99 шт на баркод","1 350","3 050","9 100","21 000",""
"","до 10 шт на баркод","1 490","3 350","9 900","23 000",""
"Закрепление упаковки скотчем","от 100 шт на баркод","230","330","430","570","800"
"","от 11 до 99 шт на баркод","250","350","450","600","850"
"","до 10 шт на баркод","280","390","490","660","930"
"Отгрузка товара с храненния
минимум 10 единиц","от 100 шт на баркод","350","390","480","590","750"
"","от 10 до 99 шт на баркод","400","450","550","700","950"
"Вложение
Рекламные материалы, дополнительные наклейки, перекрытие заводского штрихкода.","Первое вложение","350","350","350","350","350"
"","Каждое последующее вложение","300","300","300","300","300"
"FBS (отправка заказа с нашего склада)*
В стоимость входит - отбор товара, маркировка этикеткой FBS, отгрузка на склад UZUM, ПВЗ Yandex
*упаковка товара в стоимость данной услуги не входит","","5500","7000","12000","19500",""
"FBS (отправка заказа с нашего склада)
Дорогостоящей электроники - телефоны, планшеты, и другая мелкая электроника дороже 2 млн сум за единицу","","15000","","","",""
"Создание поставки и отгрузка на склад маркетплейса","","","","","",""
"","Короб","15 000","15 000","20 000","",""
"","Палет","125 000","125 000","150 000","",""
"Отгрузка из хранения ранее промаркированного товара, шт*
* Отгрузка с хранения менее 10 единиц товара на 1 ШК, расчитывается как отгрузка по FBS","","","","450","",""
"Сборка набора","","","","","",""
"Замеры, за 1 баркод","","","","1 450","",""
