"Регистрация на Uzum и открытие магазина ",""
"Бонус: текстовое и визуальное оформление магазина - в подарок","299000"
"Комплекс ""Регистрация на Uzum и создание карточек""",""
"Включено: регистрация ЛК, создание магазина и создание 5 карточек ","699000"
"Включено: регистрация ЛК, создание магазина и включено создание 10 карточек ","999000"
"Бонус: текстовое и визуальное оформление магазина - в подарок",""
"*Фотографии товара и инфографика не входят в комплекс и оплачиваются по прайс-листу. В одной карточке может быть до 10 SKU. 
",""
"Настройка Буст в топ",""
"В пакеты входит: 
- стартовая настройка РК, 
- подбор и оптимизация ключевых слов, 
- настройка ставок,  
- еженедельная отчетность
- созвоны

Длительность: от 1 недели до 3х месяцев сопроовождения",""
"Ведение магазинов",""
"Сопровождение магазинов на маркетплейсах Uzum, Wb, Yandex Market для производителей, дистрибьюторов, крупных импортеров",""
